regime,strategy,IS_bps,IS_std,ExecCost_bps,MktImpact_bps,AvgFill,Unexecuted,Reward,IS_Sharpe
bear,DoubleDQN,-310.0431122187529,1296.184614245521,-311.0742196407168,9.461620627657954,103.11074219640716,0.0,292.5329707227482,0.23919672306786527
bear,DQN,-176.5975041841535,1349.7757909849038,-177.6152657107247,8.069803425349864,101.77615265710723,0.0,155.9652123608982,0.1308346951867933
bear,SAC,-76.91390473727466,351.17878731255047,-77.92169690704941,5.117818782544553,100.77921696907049,0.0,72.85623870306912,0.21901637432503
bear,Random,18.11855558211242,135.6723784812053,17.120267608873654,8.454453470745376,99.82879732391126,0.0,-22.85240297926708,-0.13354638420000012
bear,PPO,31.604171857541438,1808.5844782436175,30.607232580799614,16.60944232808077,99.69392767419203,0.0,-73.29711613255584,-0.017474534497949418
bear,AlmgrenChriss,33.74760970962415,352.40041944772145,32.75088479810629,2.9235838963517153,99.67249115201894,0.0,-35.862415597514676,-0.09576495329494021
bear,VWAP,55.46688890528165,867.3076675048914,54.472336138895514,1.7522982245524281,99.45527663861105,0.0,-63.119637739826246,-0.06395295577725867
bear,TWAP,57.93943094699706,869.6311140209157,56.94512545954663,1.731537080841656,99.43054874540454,0.0,-65.70753023595458,-0.06662529664909961
bear,POV,63.60337220120082,856.8993151168528,62.60963316451741,1.9690794923129888,99.37390366835483,0.0,-71.38022382477733,-0.07422502396615073
bear,A2C,136.58709378294327,1558.3934490970337,135.60065384832814,13.88733466807359,98.64399346151673,0.0,-173.04034705683856,-0.08764609082641943
bull,DoubleDQN,-522.3977871806452,1307.0664008398726,-523.4501321938643,9.400073887785833,105.23450132193867,0.0,506.05402057585326,0.3996719576331945
bull,DQN,-405.29418844519404,1340.2787061538447,-406.33482192738694,7.574185071987207,104.06334821927386,0.0,386.22008518095106,0.3023954544558509
bull,PPO,-276.1947904755871,1861.3055713894942,-277.2225127268597,16.60944232808072,102.77222512726861,0.0,235.02815514895693,0.1483876665502349
bull,SAC,-132.50660357413457,336.5675765532925,-133.51995556976627,5.059912168251829,101.33519955569767,0.0,128.67851541654002,0.39369984753347054
bull,A2C,-116.08481428106319,1525.7406646081797,-117.09652393345648,13.376041872784917,101.17096523933456,0.0,81.28412802600081,0.07608423697011342
bull,VWAP,-97.0845693847934,885.0383364466782,-98.09437882267568,1.752298224552425,100.98094378822675,0.0,89.68154228565041,0.10969532661654696
bull,TWAP,-94.53608105508731,886.7130799152251,-95.54563561864548,1.7315370808416557,100.95545635618646,0.0,87.03433004400448,0.10661405949263647
bull,POV,-87.81245220635607,872.929188633454,-88.82133433978994,1.9690794923129753,100.8882133433979,0.0,80.28683298342638,0.100595160924477
bull,AlmgrenChriss,-26.66739647621233,356.11085238389876,-27.67016349255925,2.923583896351699,100.27670163492559,0.0,24.60683470350127,0.07488509911343323
bull,Random,-0.8561974670640086,136.31102549626544,-1.856383105374207,8.45445347074538,100.01856383105374,0.0,-3.867754342127508,0.006281204795727875
deep,DoubleDQN,-412.15755092076273,1302.7957145114433,-413.1988708078433,4.176285080006263,104.13198870807842,0.0,398.23568518849015,0.316363913643213
deep,DQN,-297.07163860479716,1309.8817186697302,-298.1014487496722,3.511467548921893,102.98101448749672,0.0,279.82741238602733,0.22679272057195052
deep,PPO,-130.56705338138536,1834.7151067300701,-131.5802114025256,7.23007219087938,101.31580211402526,0.0,95.14254358056286,0.07116475626235942
deep,SAC,-108.5493016872535,343.0657235315343,-109.56025771308585,2.393506934347057,101.09560257713085,0.0,106.06069512669711,0.3164096388573174
deep,VWAP,-22.403885771585827,876.2102384940238,-23.406226394225236,1.2047428070361157,100.23406226394225,0.0,15.184246224885708,0.025569075533820148
deep,TWAP,-19.890582543166275,878.2050999215213,-20.892671810343654,1.2009030979480537,100.20892671810343,0.0,12.558307953117875,0.02264913121652458
deep,A2C,-4.452434450572571,1544.974601157457,-5.4529797485474045,5.95485561006099,100.05452979748549,0.0,-26.342942405270183,0.002881881972191669
deep,Random,3.15724475978495,136.01672692278228,2.157460505835545,3.7814984670274496,99.97842539494167,0.0,-5.134322861638625,-0.02321218008395489
deep,AlmgrenChriss,4.991608533663922,231.4437362514359,3.992007734437316,1.9557781493953377,99.96007992265562,0.0,-6.0181559459496246,-0.02156726561059129
deep,POV,7.814164023535138,273.3471566748506,6.814845508086026,1.9195575689106503,99.93185154491914,0.0,-9.052291844142344,-0.0285869592300226
high_vol,DoubleDQN,-685.5545997028687,2511.1830446162535,-686.6232620290715,11.711148961837912,106.8662326202907,0.0,546.6186911317147,0.27300064850802575
high_vol,DQN,-559.8091785282836,2421.0286960146495,-560.8652650547892,8.82726745833203,105.60865265054788,0.0,415.3157741817867,0.23122781627891337
high_vol,PPO,-477.66020331986425,3461.906620654633,-478.7080741272769,16.622319078308877,104.78708074127276,0.0,194.174286717894,0.13797605067389213
high_vol,A2C,-169.32706395419456,2415.4204627132804,-170.34409836403086,12.600240151440708,101.7034409836403,0.0,-3.7341278182741235,0.07010252110057752
high_vol,VWAP,-134.55846570495592,1786.9994469463409,-135.5720229072467,1.7546715970646485,101.35572022907246,0.0,77.29387130129011,0.07529854916005523
high_vol,TWAP,-132.77865250185295,1806.055290268218,-133.7920317050197,1.7335629265331773,101.33792031705019,0.0,74.75476883027665,0.0735185978066377
high_vol,POV,-115.67586201531284,1743.7965623965408,-116.68753076838948,1.9505948640082282,101.1668753076839,0.0,58.52121115200816,0.06633564058428379
high_vol,SAC,-101.97582122864918,920.6426921874295,-102.98611984069211,5.704844530054898,101.02986119840692,0.0,77.70238878730491,0.11076590526803161
high_vol,Random,-17.260950792065685,385.3021803738626,-18.262777069772316,8.462463090092749,100.1826277706977,0.0,11.537308829551135,0.0447984768092213
high_vol,AlmgrenChriss,-10.651751702844626,451.1020980278785,-11.652916994547425,5.6398583508851265,100.11652916994547,0.0,7.241771871256309,0.023612729245525984
low_vol,DoubleDQN,-451.17779778315025,1099.5857478189764,-452.2230200851585,8.737773888852612,104.5222302008516,0.0,444.01550832771545,0.4103161564958887
low_vol,DQN,-351.644280185582,1176.9870933465095,-352.679548140396,7.135906007304784,103.52679548140397,0.0,344.32166961154695,0.29876647090959885
low_vol,PPO,-136.61403168526664,1658.5087258830843,-137.627794464713,16.609442328080842,101.37627794464714,0.0,117.6603985691534,0.08237160863440333
low_vol,SAC,-116.95294275001397,264.1485383947206,-117.96473922400659,5.013161366565167,101.17964739224006,0.0,114.31467428188981,0.4427544572471074
low_vol,VWAP,-29.607308357088712,759.7561523893932,-30.61036939402811,1.7522982245524432,100.30610369394027,0.0,27.336757921444974,0.03896948812317783
low_vol,TWAP,-27.847425900104454,758.5861270500958,-28.850310931193896,1.7315370808416555,100.28850310931193,0.0,25.572397319557123,0.03670964298853931
low_vol,POV,-20.384090296875144,749.1731162594434,-21.386228919767,1.9690794923129897,100.21386228919768,0.0,17.99013888944699,0.02720878506509141
low_vol,AlmgrenChriss,-18.11786695417312,566.646701458492,-19.11977893206289,1.885440443466345,100.19119778932061,0.0,16.560803843536405,0.03197383291477312
low_vol,A2C,-10.94631162357588,1402.3583070307648,-11.947506374213221,14.034127393491058,100.11947506374214,0.0,-5.476124314174976,0.007805645368012171
